cpd00001	C00001|C01328
cpd00002	C00002
cpd00003	C00003
cpd00004	C00004
cpd00005	C00005
cpd00006	C00006
cpd00007	C00007
cpd00008	C00008
cpd00009	C00009
cpd00010	C00010
cpd00011	C00011
cpd00012	C00013
cpd00013	C01342|C00014
cpd00014	C00015
cpd00015	C00016
cpd00016	C00018
cpd00017	C00019
cpd00018	C00020
cpd00019	C00021
cpd00020	C00022
cpd00021	C00023
cpd00022	C00024
cpd00023	C00025|C00302
cpd00024	C00026
cpd00025	C00027
cpd00026	C00029
cpd00027	C00267|C00293|C00031
cpd00028	C00032
cpd00029	C00033
cpd00030	C00034
cpd00031	C00035
cpd00032	C00036
cpd00033	C00037
cpd00034	C00038
cpd00035	C00041
cpd00036	C00042
cpd00037	C00043
cpd00038	C00044
cpd00039	C00047|C16440
cpd00040	C00048
cpd00041	C00049|C16433
cpd00042	C00051
cpd00043	C00052
cpd00044	C00053
cpd00045	C00054
cpd00046	C00055
cpd00047	C00058
cpd00048	C00059
cpd00049	C00060|C00162
cpd00050	C00061
cpd00051	C00062|C02385
cpd00052	C00063
cpd00053	C00064
cpd00054	C00716|C00065
cpd00055	C00067
cpd00056	C00068
cpd00057	C00069
cpd00058	C00070
cpd00059	C00072
cpd00060	C00073|C01733
cpd00061	C00074
cpd00062	C00075
cpd00063	C00076
cpd00064	C00077|C01602
cpd00065	C00078|C00806
cpd00066	C00079
cpd00067	C00080
cpd00068	C00081
cpd00069	C00082|C01536
cpd00070	C00083
cpd00071	C00084
cpd00072	C05345|C00085
cpd00073	C00086
cpd00074	C00087
cpd00075	C00088
cpd00076	C00089
cpd00077	C00090|C15571
cpd00078	C00091
cpd00079	C00668|C00092
cpd00080	C00623|C00093
cpd00081	C00094|C11481
cpd00082	C10906|C01496|C00095|C02336
cpd00083	C00096
cpd00084	C00097
cpd00085	C00099
cpd00086	C00100
cpd00087	C00101
cpd00088	C00102
cpd00089	C00103
cpd00090	C00104
cpd00091	C00105
cpd00092	C00106
cpd00093	C00108
cpd00094	C00109
cpd00095	C00111
cpd00096	C00112
cpd00097	C00113
cpd00098	C00114
cpd00099	C00698|C01327
cpd00100	C00116
cpd00101	C03736|C00117
cpd00102	C00118|C00661
cpd00103	C00119
cpd00104	C00120
cpd00105	C00121
cpd00106	C00122
cpd00107	C00123
cpd00108	C00124
cpd00109	C01070|C00125
cpd00110	C01071|C00126
cpd00111	C00127
cpd00112	C00128
cpd00113	C00129
cpd00114	C00130
cpd00115	C00131
cpd00116	C00132
cpd00117	C00133
cpd00118	C00134
cpd00119	C00135
cpd00120	C00136
cpd00121	C00137|C06151
cpd00122	C00140
cpd00123	C00141
cpd00124	
cpd00125	C00143
cpd00126	C00144
cpd00127	C00146|C15584
cpd00128	C00147
cpd00129	C00148
cpd00130	C00711|C00149
cpd00131	C00150
cpd00132	C00152
cpd00133	C00153
cpd00134	C00154
cpd00136	C00156
cpd00137	C00158
cpd00138	C00936|C00159
cpd00139	C00160
cpd00141	C00163
cpd00142	C00164
cpd00143	C00166
cpd00144	C00167
cpd00145	C00168
cpd00146	C00169
cpd00147	C00170
cpd00148	C00171
cpd00149	C00175
cpd00150	C00177|C01326
